ACCIDENT DATE,ACCIDENT TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2019-08-20T00:00:00.000,14:25,BROOKLYN,11217,40.68164,-73.98568,"{'type': 'Point', 'coordinates': [-73.98568, 40.68164]}",NEVINS STREET                   ,BUTLER STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4192620,Station Wagon/Sport Utility Vehicle,Bike,,,
2019-08-17T00:00:00.000,14:02,BROOKLYN,11226,40.644047,-73.95747,"{'type': 'Point', 'coordinates': [-73.95747, 40.644047]}",,,2143      CORTELYOU ROAD                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4190141,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-20T00:00:00.000,10:30,BROOKLYN,11205,40.698463,-73.960205,"{'type': 'Point', 'coordinates': [-73.960205, 40.698463]}",FLUSHING AVENUE                 ,KENT AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4192027,Pick-up Truck,Box Truck,,,
2019-08-04T00:00:00.000,23:09,,,40.716652,-73.8259,"{'type': 'Point', 'coordinates': [-73.8259, 40.716652]}",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4182834,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-08-12T00:00:00.000,11:20,QUEENS,11420,40.67855,-73.81422,"{'type': 'Point', 'coordinates': [-73.81422, 40.67855]}",,,125-05    115 AVENUE                    ,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unsafe Speed,,,,4187599,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-09T00:00:00.000,18:30,MANHATTAN,10012,40.72089,-73.99576,"{'type': 'Point', 'coordinates': [-73.99576, 40.72089]}",KENMARE STREET                  ,MOTT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4188509,Sedan,Sedan,,,
2019-08-07T00:00:00.000,13:25,,,40.681557,-73.966545,"{'type': 'Point', 'coordinates': [-73.966545, 40.681557]}",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4185313,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-27T00:00:00.000,17:06,BRONX,10458,40.865726,-73.887344,"{'type': 'Point', 'coordinates': [-73.887344, 40.865726]}",,,382       EAST 197 STREET               ,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,,4195871,Station Wagon/Sport Utility Vehicle,Taxi,Taxi,Station Wagon/Sport Utility Vehicle,
2019-08-16T00:00:00.000,17:20,STATEN ISLAND,10309,40.523136,-74.21625,"{'type': 'Point', 'coordinates': [-74.21625, 40.523136]}",AMBOY ROAD                      ,STATION AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4191144,Sedan,,,,
2019-08-25T00:00:00.000,11:58,BRONX,10452,40.836994,-73.92585,"{'type': 'Point', 'coordinates': [-73.92585, 40.836994]}",,,1170      NELSON AVENUE                 ,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,Unspecified,,,,4197166,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-06T00:00:00.000,16:50,BROOKLYN,11230,40.616653,-73.97234,"{'type': 'Point', 'coordinates': [-73.97234, 40.616653]}",AVENUE M                        ,EAST 3 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4185461,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-15T00:00:00.000,16:11,MANHATTAN,10018,40.756207,-73.99136,"{'type': 'Point', 'coordinates': [-73.99136, 40.756207]}",,,310       WEST 40 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4189468,Bus,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,19:15,MANHATTAN,10018,40.757107,-73.997314,"{'type': 'Point', 'coordinates': [-73.997314, 40.757107]}",WEST 38 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4193346,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-08-29T00:00:00.000,7:55,MANHATTAN,10010,40.735798,-73.976105,"{'type': 'Point', 'coordinates': [-73.976105, 40.735798]}",,,510       EAST 23 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4196618,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-11-26T00:00:00.000,0:00,BROOKLYN,11210,40.625843,-73.95537,"{'type': 'Point', 'coordinates': [-73.95537, 40.625843]}",AVENUE J                        ,EAST 21 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4247732,Sedan,,,,
2019-08-28T00:00:00.000,17:00,BROOKLYN,11249,40.70912,-73.9685,"{'type': 'Point', 'coordinates': [-73.9685, 40.70912]}",,,440       KENT AVENUE                   ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4198840,Station Wagon/Sport Utility Vehicle,Bike,,,
2019-08-02T00:00:00.000,13:56,,,,,,WESTCHESTER AVENUE              ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182323,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,22:21,BROOKLYN,11203,40.65422,-73.92386,"{'type': 'Point', 'coordinates': [-73.92386, 40.65422]}",LINDEN BOULEVARD                ,EAST 57 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4194360,Sedan,Box Truck,,,
2019-08-20T00:00:00.000,11:00,QUEENS,11105,40.773663,-73.90239,"{'type': 'Point', 'coordinates': [-73.90239, 40.773663]}",21 AVENUE                       ,42 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4192979,Sedan,Sedan,,,
2019-08-29T00:00:00.000,16:00,QUEENS,11104,40.74348,-73.921486,"{'type': 'Point', 'coordinates': [-73.921486, 40.74348]}",43 STREET                       ,QUEENS BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,,,,,4197196,Station Wagon/Sport Utility Vehicle,,,,
2019-08-12T00:00:00.000,13:00,BROOKLYN,11226,40.648376,-73.96579,"{'type': 'Point', 'coordinates': [-73.96579, 40.648376]}",MARLBOROUGH ROAD                ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4187562,Sedan,,,,
2019-08-26T00:00:00.000,21:44,BRONX,10457,40.839615,-73.90489,"{'type': 'Point', 'coordinates': [-73.90489, 40.839615]}",,,425       CLAREMONT PARKWAY             ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4195373,Station Wagon/Sport Utility Vehicle,,,,
2019-08-17T00:00:00.000,12:00,QUEENS,11364,40.74443,-73.76506,"{'type': 'Point', 'coordinates': [-73.76506, 40.74443]}",,,64-27     211 STREET                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Other Vehicular,,,,4189934,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-04T00:00:00.000,19:30,BROOKLYN,11223,40.6034,-73.97181,"{'type': 'Point', 'coordinates': [-73.97181, 40.6034]}",,,14        BILLINGS PLACE                ,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,Unspecified,,,4182955,Sedan,Sedan,Sedan,,
2019-08-12T00:00:00.000,13:30,,,40.71307,-73.77527,"{'type': 'Point', 'coordinates': [-73.77527, 40.71307]}",186 STREET                      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188162,Sedan,Sedan,,,
2019-08-14T00:00:00.000,17:15,MANHATTAN,10001,,,,WEST 34 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4189031,Sedan,Sedan,,,
2019-08-26T00:00:00.000,15:00,QUEENS,11433,40.704853,-73.791664,"{'type': 'Point', 'coordinates': [-73.791664, 40.704853]}",93 AVENUE                       ,168 STREET,,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,,,,4197512,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-07T00:00:00.000,16:13,,,,,,HUTCHINSON RIVER PARKWAY        ,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,,,,,4185359,Pick-up Truck,,,,
2019-08-02T00:00:00.000,14:50,MANHATTAN,10121,40.750015,-73.991356,"{'type': 'Point', 'coordinates': [-73.991356, 40.750015]}",,,2         PENNSYLVANIA PLAZA            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182304,Box Truck,Taxi,,,
2019-08-20T00:00:00.000,23:30,,,40.72935,-73.910194,"{'type': 'Point', 'coordinates': [-73.910194, 40.72935]}",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4192604,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-07T00:00:00.000,22:38,,,40.80396,-73.94828,"{'type': 'Point', 'coordinates': [-73.94828, 40.80396]}",WEST 119 STREET                 ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Other Vehicular,,,,4187471,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-24T00:00:00.000,2:37,BROOKLYN,11232,40.64986,-74.01972,"{'type': 'Point', 'coordinates': [-74.01972, 40.64986]}",1 AVENUE                        ,51 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4193871,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,,,
2019-08-11T00:00:00.000,7:55,BROOKLYN,11221,40.684624,-73.93838,"{'type': 'Point', 'coordinates': [-73.93838, 40.684624]}",MARCUS GARVEY BOULEVARD         ,JEFFERSON AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4191300,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-23T00:00:00.000,15:15,,,40.534813,-74.194115,"{'type': 'Point', 'coordinates': [-74.194115, 40.534813]}",KOREAN WAR VETS PARKWAY         ,,,1,0,0,0,0,0,1,0,Drugs (illegal),,,,,4193804,Pick-up Truck,,,,
2019-08-02T00:00:00.000,0:15,,,,,,VANWYCK EXPRESSWAY              ,109 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4181243,Sedan,Sedan,,,
2019-08-28T00:00:00.000,14:40,,,40.81821,-73.96144,"{'type': 'Point', 'coordinates': [-73.96144, 40.81821]}",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,,,,,4203814,Sedan,,,,
2019-08-15T00:00:00.000,18:08,,,,,,BROOKLYN BRIDGE                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4192999,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-28T00:00:00.000,12:30,,,,,,LAURELTON PARKWAY               ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4196752,Sedan,,,,
2019-08-23T00:00:00.000,15:37,BROOKLYN,11235,40.578274,-73.95827,"{'type': 'Point', 'coordinates': [-73.95827, 40.578274]}",BRIGHTON BEACH AVENUE           ,OCEANA TERRACE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4194489,Sedan,Bulk Agriculture,,,
2019-08-27T00:00:00.000,9:27,BRONX,10472,40.83223,-73.875244,"{'type': 'Point', 'coordinates': [-73.875244, 40.83223]}",,,1308      MORRISON AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4197752,Sedan,Sedan,,,
2019-08-14T00:00:00.000,12:00,,,40.67653,-73.75693,"{'type': 'Point', 'coordinates': [-73.75693, 40.67653]}",137 AVENUE                      ,,,1,0,0,0,1,0,0,0,Unspecified,,,,,4189488,Bike,,,,
2019-08-03T00:00:00.000,12:45,QUEENS,11421,40.68841,-73.84794,"{'type': 'Point', 'coordinates': [-73.84794, 40.68841]}",95 STREET                       ,ATLANTIC AVENUE,,1,0,0,0,0,0,1,0,Pavement Defective,,,,,4181981,Sedan,,,,
2019-08-13T00:00:00.000,0:05,,,40.696663,-73.98085,"{'type': 'Point', 'coordinates': [-73.98085, 40.696663]}",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4188184,Tractor Truck Diesel,Sedan,,,
2018-07-22T00:00:00.000,17:06,BRONX,10467,,,,Van Cortlandt Park S            ,MOSHOLU PARKWAY,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3945953,Sedan,Sedan,,,
2019-08-29T00:00:00.000,10:00,,,40.769333,-73.841736,"{'type': 'Point', 'coordinates': [-73.841736, 40.769333]}",COLLEGE POINT BOULEVARD         ,31 AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4196580,Bus,Station Wagon/Sport Utility Vehicle,,,
2019-08-17T00:00:00.000,14:00,,,40.756367,-73.96012,"{'type': 'Point', 'coordinates': [-73.96012, 40.756367]}",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Lane Marking Improper/Inadequate,Lane Marking Improper/Inadequate,,,,4190123,Sedan,Sedan,,,
2019-08-03T00:00:00.000,21:00,MANHATTAN,10128,40.782055,-73.95373,"{'type': 'Point', 'coordinates': [-73.95373, 40.782055]}",LEXINGTON AVENUE                ,EAST 90 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182553,Taxi,Station Wagon/Sport Utility Vehicle,,,
2019-08-14T00:00:00.000,11:30,,,40.724552,-73.72452,"{'type': 'Point', 'coordinates': [-73.72452, 40.724552]}",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188570,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-22T00:00:00.000,10:28,,,40.593327,-73.964645,"{'type': 'Point', 'coordinates': [-73.964645, 40.593327]}",OCEAN PARKWAY                   ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4193228,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-17T00:00:00.000,8:53,BROOKLYN,11228,40.615383,-74.01613,"{'type': 'Point', 'coordinates': [-74.01613, 40.615383]}",86 STREET                       ,12 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191282,Sedan,Pick-up Truck,,,
2019-08-07T00:00:00.000,15:33,,,40.58493,-73.95269,"{'type': 'Point', 'coordinates': [-73.95269, 40.58493]}",BELT PARKWAY                    ,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,4184960,Sedan,Sedan,Sedan,,
2019-08-23T00:00:00.000,6:31,MANHATTAN,10010,40.74073,-73.981766,"{'type': 'Point', 'coordinates': [-73.981766, 40.74073]}",3 AVENUE                        ,EAST 26 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4193449,Sedan,Tractor Truck Gasoline,,,
2019-08-23T00:00:00.000,0:00,,,40.809563,-73.92923,"{'type': 'Point', 'coordinates': [-73.92923, 40.809563]}",3 AVENUE                        ,EAST 135 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4193284,Taxi,Sedan,,,
2019-08-28T00:00:00.000,8:00,,,40.661522,-74.00008,"{'type': 'Point', 'coordinates': [-74.00008, 40.661522]}",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4196293,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,18:50,BROOKLYN,11226,40.651363,-73.96345,"{'type': 'Point', 'coordinates': [-73.96345, 40.651363]}",CATON AVENUE                    ,EAST 18 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4193103,Sedan,Bike,,,
2019-08-10T00:00:00.000,7:50,QUEENS,11434,40.666695,-73.767136,"{'type': 'Point', 'coordinates': [-73.767136, 40.666695]}",SOUTH CONDUIT AVENUE            ,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,4186155,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan
2019-08-29T00:00:00.000,8:17,BROOKLYN,11208,40.676327,-73.86547,"{'type': 'Point', 'coordinates': [-73.86547, 40.676327]}",GRANT AVENUE                    ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4197604,Station Wagon/Sport Utility Vehicle,,,,
2019-08-04T00:00:00.000,1:45,BRONX,10461,40.85265,-73.84231,"{'type': 'Point', 'coordinates': [-73.84231, 40.85265]}",BASSETT AVENUE                  ,WILKINSON AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4183961,Box Truck,Pick-up Truck,,,
2019-08-11T00:00:00.000,14:45,BROOKLYN,11208,40.683548,-73.87251,"{'type': 'Point', 'coordinates': [-73.87251, 40.683548]}",,,3336      FULTON STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4186883,Sedan,Bus,,,
2019-08-07T00:00:00.000,7:00,QUEENS,11434,40.672382,-73.78574,"{'type': 'Point', 'coordinates': [-73.78574, 40.672382]}",ROCKAWAY BOULEVARD              ,BAISLEY BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4184513,Sedan,Sedan,,,
2019-08-28T00:00:00.000,18:36,,,40.700054,-73.92459,"{'type': 'Point', 'coordinates': [-73.92459, 40.700054]}",HART STREET                     ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4196881,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-08-05T00:00:00.000,12:00,QUEENS,11101,40.75199,-73.931274,"{'type': 'Point', 'coordinates': [-73.931274, 40.75199]}",NORTHERN BOULEVARD              ,33 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4183557,Sedan,Sedan,,,
2019-08-27T00:00:00.000,14:38,,,40.669273,-73.922554,"{'type': 'Point', 'coordinates': [-73.922554, 40.669273]}",LINCOLN PLACE                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4196918,Sedan,,,,
2019-08-18T00:00:00.000,12:00,STATEN ISLAND,10306,40.570465,-74.10977,"{'type': 'Point', 'coordinates': [-74.10977, 40.570465]}",HYLAN BOULEVARD                 ,NEW DORP LANE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4190301,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,20:00,,,,,,,,1         HARPER STREET                 ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4192896,Box Truck,Station Wagon/Sport Utility Vehicle,,,
2019-08-07T00:00:00.000,9:08,MANHATTAN,10035,40.804134,-73.93684,"{'type': 'Point', 'coordinates': [-73.93684, 40.804134]}",,,159       EAST 125 STREET               ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4184714,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-14T00:00:00.000,19:00,,,40.749184,-73.758194,"{'type': 'Point', 'coordinates': [-73.758194, 40.749184]}",HORACE HARDING EXPRESSWAY       ,220 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4188758,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-24T00:00:00.000,9:20,,,,,,SOUNDVIEW LANE                  ,,,1,0,0,0,0,0,1,0,Brakes Defective,,,,,4194569,Station Wagon/Sport Utility Vehicle,,,,
2019-08-28T00:00:00.000,10:00,,,40.753475,-73.99254,"{'type': 'Point', 'coordinates': [-73.99254, 40.753475]}",8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4196028,Pick-up Truck,Taxi,,,
2016-03-05T00:00:00.000,19:16,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3400498,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2019-11-26T00:00:00.000,11:10,,,,,,GOWANUS RAMP                    ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4248133,Van,Sedan,,,
2019-08-04T00:00:00.000,16:15,,,40.702614,-73.96058,"{'type': 'Point', 'coordinates': [-73.96058, 40.702614]}",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4183644,Station Wagon/Sport Utility Vehicle,,,,
2019-08-17T00:00:00.000,15:50,BROOKLYN,11208,40.664192,-73.87759,"{'type': 'Point', 'coordinates': [-73.87759, 40.664192]}",LINDEN BOULEVARD                ,ESSEX STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4190229,Sedan,Sedan,,,
2019-08-11T00:00:00.000,16:00,QUEENS,11363,40.76229,-73.75711,"{'type': 'Point', 'coordinates': [-73.75711, 40.76229]}",CROSS ISLAND PARKWAY            ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,4186778,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-03T00:00:00.000,9:45,QUEENS,11368,40.757534,-73.86658,"{'type': 'Point', 'coordinates': [-73.86658, 40.757534]}",NORTHERN BOULEVARD              ,102 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4182218,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-08-21T00:00:00.000,16:45,BROOKLYN,11226,40.640945,-73.94852,"{'type': 'Point', 'coordinates': [-73.94852, 40.640945]}",NOSTRAND AVENUE                 ,AVENUE D,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4192657,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2019-08-19T00:00:00.000,14:38,QUEENS,11369,40.766617,-73.864975,"{'type': 'Point', 'coordinates': [-73.864975, 40.766617]}",,,105-08    DITMARS BOULEVARD             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191378,Pick-up Truck,Sedan,,,
2019-08-30T00:00:00.000,21:21,BROOKLYN,11233,40.68488,-73.92311,"{'type': 'Point', 'coordinates': [-73.92311, 40.68488]}",HALSEY STREET                   ,RALPH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4198081,Bike,Station Wagon/Sport Utility Vehicle,,,
